,cap,geometry,PotentialUsers,PotentialPicking,Taken,Users,Score,Potential
10,20132,"MULTIPOLYGON (((9.27793 45.505571, 9.277613 45.503628, 9.276244 45.50364, 9.276044 45.502579, 9.274344 45.502484, 9.274226 45.501962, 9.271799 45.502165, 9.271775 45.502706, 9.27258 45.505611, 9.270319 45.505855, 9.267993 45.505919, 9.266931 45.505422, 9.263142 45.504709, 9.261322 45.504379, 9.259829 45.504036, 9.258954 45.504182, 9.25837 45.504503, 9.256174 45.50153, 9.255031 45.501431, 9.254356 45.5006, 9.252806 45.500566, 9.252339 45.500771, 9.251616 45.500932, 9.251321 45.501673, 9.251062 45.501612, 9.249752 45.501338, 9.247493 45.500666, 9.244458 45.499887, 9.243867 45.499745, 9.241964 45.499466, 9.239495 45.497549, 9.240002 45.495713, 9.24019 45.494933, 9.240674 45.494751, 9.240792 45.494243, 9.24109 45.493147, 9.241304 45.491251, 9.240227 45.491203, 9.238253 45.491132, 9.236998 45.491089, 9.237023 45.490519, 9.237072 45.489282, 9.23712 45.488579, 9.23714 45.488257, 9.23719 45.486993, 9.23722 45.486095, 9.236334 45.486138, 9.234958 45.487569, 9.234505 45.488024, 9.233533 45.48902, 9.233021 45.48961, 9.232854 45.489808, 9.232568 45.490162, 9.232211 45.490584, 9.231302 45.490784, 9.230523 45.490655, 9.230354 45.491391, 9.231176 45.491709, 9.230925 45.491971, 9.23047 45.492504, 9.229865 45.492302, 9.22922 45.492085, 9.229106 45.492456, 9.229387 45.492571, 9.229161 45.4927, 9.229855 45.493184, 9.228267 45.494856, 9.228886 45.495301, 9.229864 45.496073, 9.230051 45.496203, 9.231366 45.49722, 9.231504 45.497308, 9.231828 45.497551, 9.232314 45.497925, 9.232993 45.498463, 9.233702 45.498992, 9.233789 45.499054, 9.234475 45.499559, 9.235033 45.5, 9.235256 45.500139, 9.235832 45.500601, 9.236397 45.501001, 9.236615 45.501175, 9.237391 45.501702, 9.238592 45.502637, 9.238918 45.50288, 9.239955 45.503704, 9.240157 45.503848, 9.240776 45.504315, 9.241221 45.50463, 9.242636 45.505711, 9.24325 45.506148, 9.244574 45.507183, 9.245083 45.507558, 9.245148 45.507606, 9.246973 45.508947, 9.247433 45.50932, 9.247258 45.509445, 9.247491 45.509577, 9.248639 45.510198, 9.251623 45.510785, 9.253621 45.511175, 9.254143 45.511357, 9.254306 45.511471, 9.254421 45.511892, 9.253787 45.513611, 9.253932 45.514066, 9.255206 45.515097, 9.254895 45.517398, 9.255181 45.518917, 9.256875 45.518241, 9.257493 45.518258, 9.25882 45.518898, 9.258654 45.519044, 9.26066 45.519622, 9.261107 45.519545, 9.261067 45.519126, 9.261417 45.518847, 9.262074 45.518742, 9.26227 45.518363, 9.261815 45.516906, 9.262157 45.51664, 9.262109 45.516235, 9.262566 45.515784, 9.264147 45.515775, 9.264919 45.516055, 9.268113 45.516054, 9.26837 45.516796, 9.268453 45.516772, 9.268857 45.516764, 9.268952 45.516087, 9.269081 45.515566, 9.268769 45.514277, 9.268504 45.512483, 9.267269 45.512346, 9.267603 45.511627, 9.267472 45.51052, 9.268953 45.510389, 9.269568 45.510335, 9.26987 45.509209, 9.271023 45.509261, 9.271173 45.508624, 9.271625 45.50673, 9.274644 45.506264, 9.275627 45.505793, 9.27793 45.505571)))",0,0,17,0,0,Low
11,20133,"MULTIPOLYGON (((9.238653 45.478793, 9.23824 45.474556, 9.238189 45.473598, 9.238111 45.471889, 9.238045 45.470951, 9.23799 45.469709, 9.237959 45.468884, 9.237947 45.468514, 9.23793 45.468133, 9.237856 45.466289, 9.23783 45.465517, 9.237619 45.462066, 9.23519 45.462055, 9.23413 45.462104, 9.232511 45.462234, 9.232091 45.462241, 9.231024 45.46225, 9.230232 45.462267, 9.22827 45.462267, 9.22781 45.462268, 9.227009 45.462146, 9.226209 45.462152, 9.225798 45.462164, 9.225042 45.462158, 9.223931 45.462172, 9.223917 45.463282, 9.223918 45.463556, 9.223929 45.46368, 9.223915 45.464146, 9.223866 45.465562, 9.223862 45.466021, 9.223848 45.466715, 9.223829 45.468058, 9.223832 45.468749, 9.223824 45.46889, 9.222538 45.469502, 9.222525 45.470872, 9.222541 45.471387, 9.223776 45.471353, 9.223775 45.472568, 9.22376 45.472815, 9.223765 45.473408, 9.223759 45.473884, 9.222723 45.474407, 9.221646 45.474856, 9.221359 45.474977, 9.221264 45.475108, 9.221163 45.475066, 9.219445 45.475812, 9.218967 45.476014, 9.218712 45.476103, 9.217138 45.476766, 9.217121 45.478179, 9.217085 45.478964, 9.217076 45.479145, 9.21941 45.479173, 9.220251 45.479174, 9.221255 45.47918, 9.221252 45.480315, 9.223697 45.480311, 9.225025 45.479633, 9.225792 45.479225, 9.226543 45.479285, 9.226514 45.480265, 9.226512 45.481025, 9.228014 45.481053, 9.22893 45.481047, 9.228918 45.48215, 9.229363 45.482296, 9.229956 45.482488, 9.229965 45.482075, 9.232217 45.48215, 9.232572 45.482232, 9.232746 45.482278, 9.233556 45.482473, 9.234302 45.482658, 9.23429 45.482423, 9.234287 45.481729, 9.234296 45.48151, 9.234316 45.48095, 9.235416 45.481059, 9.235415 45.481468, 9.235366 45.48288, 9.236404 45.483163, 9.236563 45.483197, 9.23656 45.483896, 9.236578 45.484162, 9.235773 45.484522, 9.235853 45.485135, 9.236765 45.485569, 9.238099 45.483568, 9.238474 45.482079, 9.238653 45.478793)))",0,1,38,1,38,Medium
12,20134,"MULTIPOLYGON (((9.271809 45.468394, 9.271334 45.468156, 9.271134 45.467617, 9.271568 45.465406, 9.27175 45.464138, 9.271517 45.462292, 9.271691 45.461913, 9.271744 45.461827, 9.26169 45.461912, 9.257374 45.46193, 9.254848 45.461949, 9.252998 45.461981, 9.251312 45.461981, 9.248563 45.46199, 9.247572 45.461998, 9.245401 45.462011, 9.244729 45.462027, 9.243182 45.462027, 9.242469 45.462044, 9.240847 45.462059, 9.239773 45.462057, 9.238531 45.462059, 9.237619 45.462066, 9.23783 45.465517, 9.237856 45.466289, 9.23793 45.468133, 9.237947 45.468514, 9.237959 45.468884, 9.23799 45.469709, 9.238045 45.470951, 9.238111 45.471889, 9.238189 45.473598, 9.23824 45.474556, 9.238653 45.478793, 9.238474 45.482079, 9.238099 45.483568, 9.236765 45.485569, 9.236334 45.486138, 9.23722 45.486095, 9.23719 45.486993, 9.23714 45.488257, 9.23712 45.488579, 9.237072 45.489282, 9.237023 45.490519, 9.236998 45.491089, 9.238253 45.491132, 9.240227 45.491203, 9.241304 45.491251, 9.24109 45.493147, 9.240792 45.494243, 9.240674 45.494751, 9.24019 45.494933, 9.240002 45.495713, 9.239495 45.497549, 9.241964 45.499466, 9.243867 45.499745, 9.244458 45.499887, 9.247493 45.500666, 9.249752 45.501338, 9.251062 45.501612, 9.251321 45.501673, 9.251616 45.500932, 9.252339 45.500771, 9.252806 45.500566, 9.254356 45.5006, 9.255031 45.501431, 9.256174 45.50153, 9.25837 45.504503, 9.258954 45.504182, 9.259829 45.504036, 9.261322 45.504379, 9.261282 45.502726, 9.260895 45.501221, 9.260354 45.499843, 9.261172 45.497328, 9.262082 45.495006, 9.261557 45.494869, 9.260895 45.491049, 9.260449 45.49041, 9.258124 45.489672, 9.258413 45.487553, 9.258423 45.487476, 9.258469 45.487141, 9.258837 45.484428, 9.259267 45.484181, 9.264095 45.484069, 9.264881 45.484054, 9.264737 45.480286, 9.264699 45.47923, 9.261717 45.479129, 9.261575 45.477481, 9.261487 45.476456, 9.260502 45.476512, 9.26075 45.473941, 9.261007 45.471429, 9.265001 45.471773, 9.267533 45.472088, 9.268156 45.472174, 9.268915 45.472498, 9.269943 45.472397, 9.271399 45.472315, 9.271431 45.470771, 9.271809 45.468394)))",0,0,9,0,0,Low
13,20135,"MULTIPOLYGON (((9.221971 45.460613, 9.22026 45.460598, 9.217428 45.460557, 9.217411 45.458597, 9.217379 45.45825, 9.219333 45.457631, 9.219356 45.456931, 9.219345 45.456522, 9.219345 45.456169, 9.217498 45.45591, 9.217354 45.45589, 9.216652 45.455806, 9.216613 45.45573, 9.217224 45.455307, 9.216945 45.455142, 9.217198 45.454965, 9.216662 45.454671, 9.216254 45.454779, 9.215461 45.453896, 9.21497 45.453333, 9.214775 45.453073, 9.214411 45.452646, 9.213836 45.451983, 9.213429 45.451444, 9.2128 45.450668, 9.211929 45.449566, 9.211551 45.449121, 9.211431 45.448967, 9.210414 45.447802, 9.210049 45.447392, 9.210202 45.44731, 9.210692 45.44704, 9.211759 45.446391, 9.212533 45.445903, 9.204505 45.445492, 9.198386 45.445268, 9.198059 45.4465, 9.19781 45.44737, 9.197719 45.447692, 9.197462 45.448633, 9.197346 45.449081, 9.19726 45.449357, 9.196939 45.450556, 9.196897 45.450763, 9.196851 45.450933, 9.197161 45.450933, 9.197133 45.451293, 9.197483 45.451332, 9.200493 45.45123, 9.200522 45.451944, 9.201177 45.451966, 9.201886 45.452386, 9.202186 45.452836, 9.202398 45.453575, 9.202741 45.454202, 9.203602 45.453947, 9.203929 45.454552, 9.204248 45.455128, 9.204973 45.456454, 9.205702 45.457797, 9.205899 45.458149, 9.205174 45.458483, 9.206477 45.460009, 9.206779 45.46054, 9.206837 45.461089, 9.206733 45.461735, 9.206623 45.462293, 9.207603 45.462269, 9.208171 45.462264, 9.208884 45.462264, 9.20958 45.462255, 9.209782 45.462257, 9.210391 45.462254, 9.210842 45.462257, 9.211377 45.462258, 9.212103 45.462259, 9.213009 45.462241, 9.213479 45.462243, 9.213988 45.46223, 9.214703 45.462212, 9.21611 45.462212, 9.21741 45.4622, 9.218459 45.462197, 9.219655 45.462184, 9.219849 45.462181, 9.220719 45.462195, 9.221556 45.462199, 9.221928 45.462196, 9.221928 45.460807, 9.221971 45.460613)))",0,1,37,1,37,Medium
14,20136,"MULTIPOLYGON (((9.198059 45.4465, 9.196136 45.446404, 9.194561 45.446316, 9.19107 45.446187, 9.187595 45.445784, 9.186421 45.445404, 9.185933 45.44523, 9.18506 45.44495, 9.1838 45.444585, 9.182698 45.444242, 9.18114 45.443746, 9.1802 45.443547, 9.179034 45.443528, 9.176075 45.443665, 9.176137 45.443864, 9.176531 45.445453, 9.176557 45.445576, 9.176927 45.447156, 9.177006 45.447485, 9.177063 45.44778, 9.177344 45.448909, 9.177581 45.449933, 9.177884 45.451246, 9.177927 45.451446, 9.177977 45.451636, 9.178128 45.452275, 9.17896 45.452368, 9.180188 45.45231, 9.181009 45.452258, 9.181091 45.45281, 9.18409 45.452551, 9.184541 45.452518, 9.184702 45.452501, 9.185791 45.452422, 9.186008 45.45241, 9.186771 45.452352, 9.187685 45.452176, 9.188625 45.452049, 9.189581 45.451977, 9.190369 45.45195, 9.190408 45.450937, 9.192704 45.450933, 9.192722 45.451975, 9.193996 45.451982, 9.194159 45.451985, 9.194397 45.451988, 9.19655 45.45204, 9.196768 45.451226, 9.196851 45.450933, 9.196897 45.450763, 9.196939 45.450556, 9.19726 45.449357, 9.197346 45.449081, 9.197462 45.448633, 9.197719 45.447692, 9.19781 45.44737, 9.198059 45.4465)))",1,2,39,2,78,Medium
15,20137,"MULTIPOLYGON (((9.237619 45.462066, 9.23756 45.461055, 9.237499 45.460207, 9.237497 45.457823, 9.237425 45.456276, 9.237414 45.455881, 9.237288 45.45382, 9.236861 45.450872, 9.235817 45.448724, 9.234307 45.447529, 9.232719 45.446891, 9.232286 45.446772, 9.230943 45.447176, 9.229435 45.448053, 9.22943 45.447273, 9.229402 45.446606, 9.228665 45.446568, 9.227711 45.446528, 9.226341 45.446469, 9.224143 45.446377, 9.221607 45.44626, 9.220756 45.446234, 9.219916 45.446194, 9.216408 45.446048, 9.214687 45.445975, 9.213279 45.445934, 9.212698 45.445796, 9.212533 45.445903, 9.211759 45.446391, 9.210692 45.44704, 9.210202 45.44731, 9.210049 45.447392, 9.210414 45.447802, 9.211431 45.448967, 9.211551 45.449121, 9.211929 45.449566, 9.2128 45.450668, 9.213429 45.451444, 9.213836 45.451983, 9.214411 45.452646, 9.214775 45.453073, 9.21497 45.453333, 9.215461 45.453896, 9.216254 45.454779, 9.216662 45.454671, 9.217198 45.454965, 9.216945 45.455142, 9.217224 45.455307, 9.216613 45.45573, 9.216652 45.455806, 9.217354 45.45589, 9.217498 45.45591, 9.219345 45.456169, 9.219345 45.456522, 9.219356 45.456931, 9.219333 45.457631, 9.217379 45.45825, 9.217411 45.458597, 9.217428 45.460557, 9.22026 45.460598, 9.221971 45.460613, 9.221928 45.460807, 9.221928 45.462196, 9.223931 45.462172, 9.225042 45.462158, 9.225798 45.462164, 9.226209 45.462152, 9.227009 45.462146, 9.22781 45.462268, 9.22827 45.462267, 9.230232 45.462267, 9.231024 45.46225, 9.232091 45.462241, 9.232511 45.462234, 9.23413 45.462104, 9.23519 45.462055, 9.237619 45.462066)))",2,1,29,3,87,Medium
16,20138,"MULTIPOLYGON (((9.272235 45.460562, 9.270443 45.460395, 9.270194 45.459063, 9.26936 45.458561, 9.269383 45.457949, 9.268076 45.457538, 9.264581 45.457229, 9.264203 45.455342, 9.263726 45.454533, 9.264549 45.452704, 9.265074 45.452604, 9.265273 45.452077, 9.264902 45.451579, 9.264949 45.451494, 9.265219 45.451019, 9.266204 45.451071, 9.266393 45.450485, 9.267157 45.449789, 9.266478 45.446885, 9.266716 45.44433, 9.266712 45.44212, 9.266977 45.439923, 9.266678 45.437784, 9.26657 45.437467, 9.266351 45.436822, 9.266957 45.435245, 9.263886 45.43258, 9.263805 45.432508, 9.26174 45.431261, 9.26027 45.43046, 9.259389 45.430295, 9.258532 45.429475, 9.257319 45.428728, 9.256145 45.428102, 9.254037 45.426972, 9.253249 45.426241, 9.252608 45.425952, 9.252442 45.425883, 9.25179 45.425604, 9.252812 45.424623, 9.253897 45.423582, 9.251875 45.423011, 9.250824 45.422778, 9.249278 45.423502, 9.247886 45.423739, 9.246671 45.423625, 9.245561 45.423159, 9.245355 45.425019, 9.245652 45.426606, 9.243848 45.429701, 9.242936 45.430518, 9.241239 45.429842, 9.240258 45.429633, 9.239913 45.431252, 9.239368 45.432989, 9.238313 45.435985, 9.236796 45.439425, 9.23587 45.441976, 9.2353 45.443576, 9.235032 45.444144, 9.234822 45.445698, 9.234823 45.445888, 9.232286 45.446772, 9.232719 45.446891, 9.234307 45.447529, 9.235817 45.448724, 9.236861 45.450872, 9.237288 45.45382, 9.237414 45.455881, 9.237425 45.456276, 9.237497 45.457823, 9.237499 45.460207, 9.23756 45.461055, 9.237619 45.462066, 9.238531 45.462059, 9.239773 45.462057, 9.240847 45.462059, 9.242469 45.462044, 9.243182 45.462027, 9.244729 45.462027, 9.245401 45.462011, 9.247572 45.461998, 9.248563 45.46199, 9.251312 45.461981, 9.252998 45.461981, 9.254848 45.461949, 9.257374 45.46193, 9.26169 45.461912, 9.271744 45.461827, 9.272235 45.460562)))",0,0,12,1,12,Low
17,20139,"MULTIPOLYGON (((9.250205 45.414616, 9.2479 45.413127, 9.247094 45.413048, 9.246069 45.41224, 9.245506 45.412106, 9.244345 45.412622, 9.24391 45.412551, 9.242681 45.411018, 9.243033 45.410518, 9.242621 45.409817, 9.240061 45.408751, 9.237408 45.409927, 9.233686 45.409133, 9.231447 45.408022, 9.227461 45.40803, 9.225593 45.407602, 9.224143 45.409135, 9.223179 45.409661, 9.225233 45.410615, 9.232301 45.414189, 9.231618 45.414641, 9.231242 45.414455, 9.229856 45.415375, 9.228269 45.41412, 9.223628 45.417217, 9.222959 45.418311, 9.224529 45.418992, 9.222308 45.420986, 9.224053 45.421418, 9.223834 45.421884, 9.222235 45.424965, 9.224683 45.424307, 9.225037 45.42454, 9.223814 45.427468, 9.224036 45.427599, 9.22326 45.428679, 9.224364 45.429075, 9.224689 45.429765, 9.224352 45.430609, 9.2222 45.429848, 9.221973 45.430098, 9.221197 45.430226, 9.219492 45.431727, 9.218681 45.432312, 9.219627 45.432803, 9.219252 45.433053, 9.217998 45.433972, 9.216581 45.433883, 9.216578 45.434452, 9.216526 45.435853, 9.215924 45.435685, 9.215526 45.436306, 9.214384 45.435946, 9.214402 45.43573, 9.21344 45.435407, 9.213104 45.435338, 9.212881 45.435342, 9.209726 45.434501, 9.206823 45.433548, 9.206289 45.433701, 9.204854 45.43343, 9.204616 45.433634, 9.202772 45.434473, 9.204636 45.434667, 9.204417 45.435613, 9.204315 45.436425, 9.20412 45.437324, 9.203955 45.438227, 9.203863 45.439405, 9.203537 45.439415, 9.200093 45.438898, 9.199853 45.440094, 9.199442 45.441522, 9.198921 45.443392, 9.198386 45.445268, 9.204505 45.445492, 9.212533 45.445903, 9.212698 45.445796, 9.213279 45.445934, 9.214687 45.445975, 9.216408 45.446048, 9.219916 45.446194, 9.220756 45.446234, 9.221607 45.44626, 9.224143 45.446377, 9.226341 45.446469, 9.227711 45.446528, 9.228665 45.446568, 9.229402 45.446606, 9.22943 45.447273, 9.229435 45.448053, 9.230943 45.447176, 9.232286 45.446772, 9.234823 45.445888, 9.234822 45.445698, 9.235032 45.444144, 9.2353 45.443576, 9.23587 45.441976, 9.236796 45.439425, 9.238313 45.435985, 9.239368 45.432989, 9.239913 45.431252, 9.240258 45.429633, 9.241239 45.429842, 9.242936 45.430518, 9.243848 45.429701, 9.245652 45.426606, 9.245355 45.425019, 9.245561 45.423159, 9.240057 45.419752, 9.240401 45.419627, 9.245136 45.417487, 9.247646 45.416422, 9.250205 45.414616)))",0,2,48,0,0,Low
18,20141,"MULTIPOLYGON (((9.232301 45.414189, 9.225233 45.410615, 9.223179 45.409661, 9.22288 45.40988, 9.220411 45.408748, 9.217834 45.407576, 9.218001 45.407177, 9.218559 45.405851, 9.216688 45.404495, 9.215916 45.403012, 9.215849 45.402229, 9.216088 45.401157, 9.218453 45.398344, 9.218732 45.397867, 9.218533 45.397817, 9.214846 45.397055, 9.214707 45.397532, 9.213243 45.397298, 9.210508 45.39686, 9.210043 45.396786, 9.209714 45.397587, 9.208101 45.39715, 9.208867 45.396463, 9.209158 45.395833, 9.209001 45.395215, 9.208425 45.3946, 9.208521 45.392935, 9.206295 45.392174, 9.205979 45.393003, 9.204831 45.393446, 9.203763 45.394888, 9.203461 45.395978, 9.202531 45.396731, 9.202234 45.397564, 9.203813 45.397552, 9.203847 45.398266, 9.204502 45.399767, 9.204427 45.400471, 9.199958 45.399828, 9.199834 45.400103, 9.198843 45.39988, 9.198777 45.401677, 9.20187 45.401595, 9.20155 45.402218, 9.200439 45.404085, 9.200354 45.409717, 9.200342 45.411314, 9.201143 45.411617, 9.200355 45.41307, 9.200828 45.413452, 9.198409 45.414886, 9.199475 45.415777, 9.198074 45.416638, 9.200211 45.418221, 9.197023 45.41865, 9.195955 45.417719, 9.196552 45.417103, 9.195673 45.416739, 9.194713 45.416732, 9.194609 45.418098, 9.193112 45.418039, 9.193068 45.418485, 9.192671 45.419546, 9.188299 45.416989, 9.187352 45.416437, 9.188239 45.415564, 9.188484 45.413929, 9.186614 45.413677, 9.185359 45.414356, 9.184838 45.41498, 9.184205 45.415836, 9.1875 45.418239, 9.187029 45.419081, 9.18824 45.41985, 9.18885 45.420641, 9.188422 45.42147, 9.187274 45.423949, 9.189195 45.425211, 9.187931 45.426331, 9.185862 45.425203, 9.184251 45.426489, 9.183433 45.426096, 9.182608 45.426996, 9.182733 45.429977, 9.181815 45.429984, 9.179668 45.429994, 9.178452 45.429996, 9.177721 45.429984, 9.176529 45.430007, 9.175816 45.430014, 9.174166 45.430033, 9.173186 45.430045, 9.172713 45.430052, 9.172351 45.430134, 9.17197 45.43037, 9.172832 45.431932, 9.173462 45.432987, 9.173678 45.433456, 9.17381 45.434032, 9.174042 45.434915, 9.174066 45.435007, 9.174143 45.43533, 9.174163 45.43538, 9.174357 45.43622, 9.174678 45.437604, 9.174785 45.438072, 9.175123 45.43958, 9.175385 45.440669, 9.175497 45.441168, 9.175633 45.441801, 9.175897 45.442873, 9.176075 45.443665, 9.179034 45.443528, 9.1802 45.443547, 9.18114 45.443746, 9.182698 45.444242, 9.1838 45.444585, 9.18506 45.44495, 9.185933 45.44523, 9.186421 45.445404, 9.187595 45.445784, 9.19107 45.446187, 9.194561 45.446316, 9.196136 45.446404, 9.198059 45.4465, 9.198386 45.445268, 9.198921 45.443392, 9.199442 45.441522, 9.199853 45.440094, 9.200093 45.438898, 9.203537 45.439415, 9.203863 45.439405, 9.203955 45.438227, 9.20412 45.437324, 9.204315 45.436425, 9.204417 45.435613, 9.204636 45.434667, 9.202772 45.434473, 9.204616 45.433634, 9.204854 45.43343, 9.206289 45.433701, 9.206823 45.433548, 9.209726 45.434501, 9.212881 45.435342, 9.213104 45.435338, 9.21344 45.435407, 9.214402 45.43573, 9.214384 45.435946, 9.215526 45.436306, 9.215924 45.435685, 9.216526 45.435853, 9.216578 45.434452, 9.216581 45.433883, 9.217998 45.433972, 9.219252 45.433053, 9.219627 45.432803, 9.218681 45.432312, 9.219492 45.431727, 9.221197 45.430226, 9.221973 45.430098, 9.2222 45.429848, 9.224352 45.430609, 9.224689 45.429765, 9.224364 45.429075, 9.22326 45.428679, 9.224036 45.427599, 9.223814 45.427468, 9.225037 45.42454, 9.224683 45.424307, 9.222235 45.424965, 9.223834 45.421884, 9.224053 45.421418, 9.222308 45.420986, 9.224529 45.418992, 9.222959 45.418311, 9.223628 45.417217, 9.228269 45.41412, 9.229856 45.415375, 9.231242 45.414455, 9.231618 45.414641, 9.232301 45.414189)))",0,2,51,1,51,Medium
19,20142,"MULTIPOLYGON (((9.204502 45.399767, 9.203847 45.398266, 9.203813 45.397552, 9.202234 45.397564, 9.20185 45.397567, 9.200444 45.397615, 9.199868 45.395034, 9.201392 45.392817, 9.201645 45.392115, 9.201202 45.391459, 9.199119 45.389374, 9.194744 45.387509, 9.192532 45.387107, 9.191858 45.388043, 9.191109 45.388287, 9.190666 45.390159, 9.191392 45.390729, 9.191328 45.3911, 9.191094 45.391963, 9.191262 45.392426, 9.190359 45.392779, 9.188319 45.391649, 9.186989 45.390994, 9.18636 45.391512, 9.186129 45.390171, 9.185671 45.389897, 9.182553 45.390573, 9.182174 45.390771, 9.182582 45.391913, 9.178801 45.393377, 9.178149 45.393528, 9.173129 45.39449, 9.172947 45.394525, 9.173066 45.395465, 9.173401 45.398446, 9.173624 45.400772, 9.17247 45.400775, 9.170543 45.40078, 9.170792 45.402833, 9.168203 45.402202, 9.167491 45.401307, 9.166566 45.400872, 9.166629 45.400512, 9.165583 45.400502, 9.165277 45.4005, 9.166388 45.402218, 9.165627 45.403078, 9.164395 45.403535, 9.164085 45.403103, 9.163067 45.403411, 9.160013 45.402997, 9.158174 45.402581, 9.158619 45.401738, 9.156853 45.401147, 9.156481 45.401357, 9.155892 45.401544, 9.157808 45.402859, 9.157994 45.402995, 9.156901 45.404082, 9.157583 45.405264, 9.158908 45.407542, 9.159191 45.40809, 9.158939 45.408166, 9.15854 45.408283, 9.158526 45.4093, 9.157389 45.412438, 9.155515 45.412603, 9.15545 45.414039, 9.154634 45.416174, 9.154148 45.415637, 9.153074 45.415301, 9.152686 45.415205, 9.152023 45.416347, 9.149626 45.415212, 9.150703 45.414698, 9.150365 45.414447, 9.148134 45.413891, 9.147245 45.415807, 9.144781 45.418296, 9.141479 45.417185, 9.141357 45.417485, 9.140109 45.417172, 9.139318 45.416482, 9.139042 45.417837, 9.13606 45.417493, 9.137885 45.415386, 9.133424 45.414183, 9.131553 45.41598, 9.130292 45.417288, 9.130508 45.417359, 9.130673 45.419355, 9.130495 45.420572, 9.130945 45.420627, 9.130699 45.42162, 9.131055 45.421454, 9.131278 45.42072, 9.131986 45.420783, 9.132032 45.421281, 9.132295 45.421346, 9.132106 45.42328, 9.132042 45.42364, 9.128401 45.425805, 9.128177 45.426102, 9.127793 45.426433, 9.126767 45.428273, 9.126689 45.429885, 9.126703 45.43006, 9.126674 45.430109, 9.125681 45.430967, 9.125641 45.431003, 9.121251 45.434708, 9.122127 45.435168, 9.121551 45.436205, 9.120774 45.437516, 9.122644 45.438061, 9.124226 45.438537, 9.12638 45.439587, 9.127614 45.440506, 9.128066 45.440732, 9.129314 45.441116, 9.130027 45.441339, 9.132157 45.442031, 9.134181 45.442751, 9.136359 45.443584, 9.137185 45.442236, 9.137437 45.441299, 9.137911 45.44031, 9.137208 45.440105, 9.136791 45.440242, 9.135497 45.439939, 9.135675 45.438626, 9.136677 45.438914, 9.138421 45.43945, 9.139325 45.437968, 9.139887 45.438104, 9.142504 45.438897, 9.144386 45.437322, 9.146736 45.436793, 9.147219 45.436816, 9.147151 45.437456, 9.147095 45.438308, 9.148576 45.4387, 9.148738 45.438743, 9.149281 45.438892, 9.149779 45.439028, 9.150196 45.439139, 9.151936 45.439592, 9.15277 45.438877, 9.154246 45.437756, 9.154219 45.437072, 9.154628 45.437081, 9.155142 45.4371, 9.155503 45.437114, 9.15632 45.437144, 9.157205 45.437177, 9.158461 45.437228, 9.159164 45.437251, 9.159681 45.437271, 9.16061 45.4373, 9.160748 45.437305, 9.161789 45.437334, 9.16273 45.437356, 9.164997 45.43744, 9.166341 45.437513, 9.166486 45.438476, 9.167013 45.439097, 9.167143 45.440229, 9.167765 45.441423, 9.167809 45.442014, 9.167786 45.443258, 9.172694 45.443012, 9.173896 45.442962, 9.175897 45.442873, 9.175633 45.441801, 9.175497 45.441168, 9.175385 45.440669, 9.175123 45.43958, 9.174785 45.438072, 9.174678 45.437604, 9.174357 45.43622, 9.174163 45.43538, 9.174143 45.43533, 9.174066 45.435007, 9.174042 45.434915, 9.17381 45.434032, 9.173678 45.433456, 9.173462 45.432987, 9.172832 45.431932, 9.17197 45.43037, 9.172351 45.430134, 9.172713 45.430052, 9.173186 45.430045, 9.174166 45.430033, 9.175816 45.430014, 9.176529 45.430007, 9.177721 45.429984, 9.178452 45.429996, 9.179668 45.429994, 9.181815 45.429984, 9.182733 45.429977, 9.182608 45.426996, 9.183433 45.426096, 9.184251 45.426489, 9.185862 45.425203, 9.187931 45.426331, 9.189195 45.425211, 9.187274 45.423949, 9.188422 45.42147, 9.18885 45.420641, 9.18824 45.41985, 9.187029 45.419081, 9.1875 45.418239, 9.184205 45.415836, 9.184838 45.41498, 9.185359 45.414356, 9.186614 45.413677, 9.188484 45.413929, 9.188239 45.415564, 9.187352 45.416437, 9.188299 45.416989, 9.192671 45.419546, 9.193068 45.418485, 9.193112 45.418039, 9.194609 45.418098, 9.194713 45.416732, 9.195673 45.416739, 9.196552 45.417103, 9.195955 45.417719, 9.197023 45.41865, 9.200211 45.418221, 9.198074 45.416638, 9.199475 45.415777, 9.198409 45.414886, 9.200828 45.413452, 9.200355 45.41307, 9.201143 45.411617, 9.200342 45.411314, 9.200354 45.409717, 9.200439 45.404085, 9.20155 45.402218, 9.20187 45.401595, 9.198777 45.401677, 9.198843 45.39988, 9.199834 45.400103, 9.199958 45.399828, 9.204427 45.400471, 9.204502 45.399767)))",0,0,23,1,23,Low
